"","ID","label","type","Defs","Pref","label.final","label.nospace"
"1","obo.BSPO_0000010","anatomical axis","class","A straight line through space, intersecting an anatomical entity.","BSPO","anatomical_axis","anatomical_axis"
"2","obo.BSPO_0000054","anatomical side","class","An anatomical region bounded by a plane perpendicular to an axis through the middle.","BSPO","anatomical_side","anatomical_side"
"3","obo.CARO_0000000","anatomical entity","class","Biological entity that is either an individual member of a biological species or constitutes the structural organization of an individual member of a biological species.","BSPO","anatomical_entity","anatomical_entity"
"4","obo.BSPO_0000400","anatomical plane","class","A flat 2D plane intersecting an anatomical continuant, dividing it into two adjacent portions.","BSPO","anatomical_plane","anatomical_plane"
"5","obo.BSPO_0000005","anatomical surface","class","A 2D surface of an anatomical continuant.","BSPO","anatomical_surface","anatomical_surface"
"6","obo.BSPO_0000000","left side","class","The side of an organism that is left of the sagittal plane.","BSPO","left_side","left_side"
"7","obo.BSPO_0000007","right side","class","The side of an organism that is right of the sagittal plane.","BSPO","right_side","right_side"
"8","obo.BSPO_0000017","left-right axis","class","An axis that bisects an organism from left to right sides of body, through a sagittal plane.","BSPO","left-right_axis","left-right_axis"
"9","obo.BSPO_0000001","upper side","class","na","BSPO","upper_side","upper_side"
"10","obo.BSPO_0000011","upper-lower axis","class","An anatomical axis determined by gravity.","BSPO","upper-lower_axis","upper-lower_axis"
"11","obo.BSPO_0000002","lower side","class","na","BSPO","lower_side","lower_side"
"12","obo.BSPO_00000021","deep-superficial gradient (obsolete)","class","na","BSPO","deep-superficial_gradient_(obsolete)","deep-superficial_gradient_(obsolete)"
"13","obo.BSPO_0000003","deep side","class","na","BSPO","deep_side","deep_side"
"14","obo.BSPO_0000004","superficial side","class","na","BSPO","superficial_side","superficial_side"
"15","obo.BSPO_0000012","deep-superficial axis","class","An axis that extends from an internal position to a more external position in the body or body part.","BSPO","deep-superficial_axis","deep-superficial_axis"
"16","obo.CARO_0000010","anatomical boundary","class","A non-material anatomical entity of two dimensions. Anatomical boundaries are contiguous structures.","BSPO","anatomical_boundary","anatomical_boundary"
"17","obo.BSPO_0000006","anatomical margin","class","Fiat anatomical region extending a short distance from the boundary of an object inwards.","BSPO","anatomical_margin","anatomical_margin"
"18","obo.BSPO_0000070","anatomical region","class","A 3D region in space without well-defined compartmental boundaries; for example, the dorsal region of an ectoderm.","BSPO","anatomical_region","anatomical_region"
"19","obo.BSPO_0000008","parasagittal plane","class","Sagittal plane that divides a bilateral body into unequal left and right parts.","BSPO","parasagittal_plane","parasagittal_plane"
"20","obo.BSPO_0000417","sagittal plane","class","Anatomical plane that divides a bilateral body into left and right parts, not necessarily of even size.","BSPO","sagittal_plane","sagittal_plane"
"21","obo.BSPO_0000009","midsagittal plane","class","Sagittal plane that divides bilateral body into equal left and right parts.","BSPO","midsagittal_plane","midsagittal_plane"
"22","obo.CARO_0000008","anatomical line CARO","class","A one dimensional, immaterial anatomical entity.","BSPO","anatomical_line_CARO","anatomical_line_CARO"
"23","obo.BSPO_0000013","anterior-posterior axis","class","An axis that extends through an organism from head end to opposite end of body or tail.","BSPO","anterior-posterior_axis","anterior-posterior_axis"
"24","obo.BSPO_0000018","transverse plane","class","Anatomical plane that divides body into anterior and posterior parts.","BSPO","transverse_plane","transverse_plane"
"25","obo.BSPO_0000016","dorsal-ventral axis","class","An axis that is approximately perpendicular to the anterior-posterior axis and that extends through the horizontal plane of the body.","BSPO","dorsal-ventral_axis","dorsal-ventral_axis"
"26","obo.BSPO_0000014","apical-basal axis relative to substrate","class","An axis that extends through an organism or organism part from the part of the organism or organism part attached to a substrate (basal) to the furthest from the attachment (apical). Note that the apical-basal axis is often used for organismal parts where there is attachment via a basal lamina or other structure.","BSPO","apical-basal_axis_relative_to_substrate","apical-basal_axis_relative_to_substrate"
"27","obo.BSPO_0000015","proximal-distal axis","class","An axis that extends from the point of attachment of a structure (proximal) to the  point furthest away from the plane of attachment (distal).","BSPO","proximal-distal_axis","proximal-distal_axis"
"28","obo.BSPO_0000019","horizontal plane","class","Anatomical plane that divides bilateral body into dorsal and ventral parts.","BSPO","horizontal_plane","horizontal_plane"
"29","obo.BSPO_0000020","upper-lower gradient","class","Anatomical gradient that is distributed along the upper-lower axis.","BSPO","upper-lower_gradient","upper-lower_gradient"
"30","obo.BSPO_0000051","anatomical gradient","class","Material anatomical entity defined by change in the value of some quantity per unit of distance across some spatial axis.","BSPO","anatomical_gradient","anatomical_gradient"
"31","obo.BSPO_0000021","deep-superficial gradient","class","Anatomical gradient that is distributed along the deep-superficial axis.","BSPO","deep-superficial_gradient","deep-superficial_gradient"
"32","obo.BSPO_0000022","superior side","class","The side that is higher relative to the substrate.","BSPO","superior_side","superior_side"
"33","obo.BSPO_0000023","apical-basal gradient","class","Anatomical gradient that is distributed along the apical-basal axis.","BSPO","apical-basal_gradient","apical-basal_gradient"
"34","obo.BSPO_0000024","proximal-distal gradient","class","Anatomical gradient that is distributed along the proximal-distal axis.","BSPO","proximal-distal_gradient","proximal-distal_gradient"
"35","obo.BSPO_0000025","inferior side","class","The side that is lower relative to the substrate.","BSPO","inferior_side","inferior_side"
"36","obo.BSPO_0000026","antero-dorsal region","class","Anatomical region that overlaps the anterior and dorsal regions of a body or body part.","BSPO","antero-dorsal_region","antero-dorsal_region"
"37","obo.BSPO_0000055","anterior side","class","An anatomical region that is the entire part of an anatomical structure anterior to a transverse plane and bounded on one side by the same transverse plane.","BSPO","anterior_side","anterior_side"
"38","obo.BSPO_0000063","dorsal side","class","An anatomical region that is the entire part of an anatomical structure dorsal to a horizontal plane and bounded on one side by the same transverse plane.","BSPO","dorsal_side","dorsal_side"
"39","obo.BSPO_0000071","anterior region","class","Anatomical region anteriorly located on the body or body part.","BSPO","anterior_region","anterior_region"
"40","obo.BSPO_0000079","dorsal region","class","Anatomical region dorsally located on the body or body part.","BSPO","dorsal_region","dorsal_region"
"41","obo.BSPO_0000027","antero-ventral region","class","Anatomical region that overlaps the anterior and ventral regions of a body or body part.","BSPO","antero-ventral_region","antero-ventral_region"
"42","obo.BSPO_0000068","ventral side","class","An anatomical region that is the entire part of an anatomical structure ventral to a horizontal plane and bounded on one side by the same horizontal plane.","BSPO","ventral_side","ventral_side"
"43","obo.BSPO_0000084","ventral region","class","Anatomical region ventrally located on the body or body part.","BSPO","ventral_region","ventral_region"
"44","obo.BSPO_0000028","postero-lateral region","class","Anatomical region that overlaps the posterior and lateral regions of the body or body part.","BSPO","postero-lateral_region","postero-lateral_region"
"45","obo.BSPO_0000056","posterior side","class","An anatomical region that is the entire part of an anatomical structure posterior to a transverse plane and bounded on one side by the same transverse plane.","BSPO","posterior_side","posterior_side"
"46","obo.BSPO_0000066","lateral side","class","na","BSPO","lateral_side","lateral_side"
"47","obo.BSPO_0000072","posterior region","class","Anatomical region posteriorly located on the body or body part.","BSPO","posterior_region","posterior_region"
"48","obo.BSPO_0000082","lateral region","class","Anatomical region laterally located on the body or body part.","BSPO","lateral_region","lateral_region"
"49","obo.BSPO_0000029","antero-lateral region","class","Anatomical region that overlaps the anterior and lateral regions of a body or body part.","BSPO","antero-lateral_region","antero-lateral_region"
"50","obo.BSPO_0000030","postero-dorsal region","class","Anatomical region that overlaps the posterior and dorsal regions of the body or body part.","BSPO","postero-dorsal_region","postero-dorsal_region"
"51","obo.BSPO_0000031","upper region","class","na","BSPO","upper_region","upper_region"
"52","obo.BSPO_0000032","lower region","class","na","BSPO","lower_region","lower_region"
